21:50::34 [init] AGV: 1 Online
21:50::34 [init] Mac: 1234567809
21:50::34 [init] Power param: FullLimit=0,HighLimit=0,LowLimit=0
21:53::30 [recv] pos:(5079,13961,0)
21:53::30 [recv] pos:(5079,13961,0)
21:53::31 [recv] pos:(5079,13961,0)
21:53::31 [recv] pos:(5079,13961,0)
21:53::32 [recv] pos:(5079,13961,0)
21:53::32 [recv] pos:(5079,13961,0)
21:53::33 [recv] pos:(5079,13961,0)
21:53::33 [recv] pos:(5079,13961,0)
21:53::34 [recv] pos:(5079,13961,0)
21:53::35 [recv] pos:(5079,13961,0)
21:53::35 [recv] pos:(5079,13961,0)
21:53::36 [recv] pos:(5079,13961,0)
21:53::36 [recv] pos:(5079,13961,0)
21:53::37 [recv] pos:(5079,13961,0)
21:53::37 [recv] pos:(5079,13961,0)
21:53::38 [recv] pos:(5079,13961,0)
21:53::38 [recv] pos:(5079,13961,0)
21:53::39 [recv] pos:(5079,13961,0)
21:53::39 [recv] pos:(5079,13961,0)
21:53::40 [recv] pos:(5079,13961,0)
21:53::40 [recv] pos:(5079,13961,0)
21:53::41 [recv] pos:(5079,13961,0)
21:53::41 [recv] pos:(5079,13961,0)
21:53::42 [recv] pos:(5079,13961,0)
21:53::43 [recv] pos:(5079,13961,0)
21:53::43 [recv] pos:(5079,13961,0)
21:53::44 [recv] pos:(5079,13961,0)
21:53::44 [recv] pos:(5079,13961,0)
21:53::45 [recv] pos:(5079,13961,0)
21:53::45 [recv] pos:(5079,13961,0)
21:53::46 [recv] pos:(5079,13961,0)
21:53::46 [recv] pos:(5079,13961,0)
21:53::47 [recv] pos:(5079,13961,0)
21:53::47 [recv] pos:(5079,13961,0)
21:53::48 [recv] pos:(5079,13961,0)
21:53::48 [recv] pos:(5079,13961,0)
21:53::49 [recv] pos:(5079,13961,0)
21:53::49 [recv] pos:(5079,13961,0)
21:53::50 [recv] pos:(5079,13961,0)
21:53::50 [recv] pos:(5079,13961,0)
21:53::51 [recv] pos:(5079,13961,0)
21:53::52 [recv] pos:(5079,13961,0)
21:53::52 [recv] pos:(5079,13961,0)
21:53::53 [recv] pos:(5079,13961,0)
21:53::53 [recv] pos:(5079,13961,0)
21:53::54 [recv] pos:(5079,13961,0)
21:53::54 [recv] pos:(5079,13961,0)
21:53::55 [recv] pos:(5079,13961,0)
21:53::55 [recv] pos:(5079,13961,0)
21:53::56 [recv] pos:(5079,13961,0)
21:53::56 [recv] pos:(5079,13961,0)
21:53::57 [recv] pos:(5079,13961,0)
21:53::57 [recv] pos:(5079,13961,0)
21:53::58 [recv] pos:(5079,13961,0)
21:53::58 [recv] pos:(5079,13961,0)
21:53::59 [recv] pos:(5079,13961,0)
21:54::00 [recv] pos:(5079,13961,0)
21:54::00 [recv] pos:(5079,13961,0)
21:54::01 [recv] pos:(5079,13961,0)
21:54::01 [recv] pos:(5079,13961,0)
21:54::02 [recv] pos:(5079,13961,0)
21:54::02 [recv] pos:(5079,13961,0)
21:54::03 [recv] pos:(5079,13961,0)
21:54::03 [recv] pos:(5079,13961,0)
21:54::04 [recv] pos:(5079,13961,0)
21:54::04 [recv] pos:(5079,13961,0)
21:54::05 [recv] pos:(5079,13961,0)
21:54::05 [recv] pos:(5079,13961,0)
21:54::06 [recv] pos:(5079,13961,0)
21:54::06 [recv] pos:(5079,13961,0)
21:54::07 [recv] pos:(5079,13961,0)
21:54::07 [recv] pos:(5079,13961,0)
21:54::08 [recv] pos:(5079,13961,0)
21:54::09 [recv] pos:(5079,13961,0)
21:54::09 [recv] pos:(5079,13961,0)
21:54::10 [recv] pos:(5079,13961,0)
21:54::10 [recv] pos:(5079,13961,0)
21:54::11 [recv] pos:(5079,13961,0)
21:54::11 [recv] pos:(5079,13961,0)
21:54::12 [recv] pos:(5079,13961,0)
21:54::12 [recv] pos:(5079,13961,0)
21:54::13 [recv] pos:(5079,13961,0)
21:54::13 [recv] pos:(5079,13961,0)
21:54::14 [recv] pos:(5079,13961,0)
21:54::14 [recv] pos:(5079,13961,0)
21:54::15 [recv] pos:(5079,13961,0)
21:54::15 [recv] pos:(5079,13961,0)
21:54::16 [recv] pos:(5079,13961,0)
21:54::17 [recv] pos:(5079,13961,0)
21:54::17 [recv] pos:(5079,13961,0)
21:54::18 [recv] pos:(5079,13961,0)
21:54::18 [recv] pos:(5079,13961,0)
21:54::19 [recv] pos:(5079,13961,0)
21:54::19 [recv] pos:(5079,13961,0)
21:54::20 [recv] pos:(5079,13961,0)
21:54::20 [recv] pos:(5079,13961,0)
21:54::21 [recv] pos:(5079,13961,0)
21:54::21 [recv] pos:(5079,13961,0)
21:54::22 [recv] pos:(5079,13961,0)
21:54::22 [recv] pos:(5079,13961,0)
21:54::23 [recv] pos:(5079,13961,0)
21:54::23 [recv] pos:(5079,13961,0)
21:54::24 [recv] pos:(5079,13961,0)
21:54::24 [recv] pos:(5079,13961,0)
21:54::25 [recv] pos:(5079,13961,0)
21:54::26 [recv] pos:(5079,13961,0)
21:54::26 [recv] pos:(5079,13961,0)
21:54::27 [recv] pos:(5079,13961,0)
